,User,Round,CD_mae_count,CD_ks_count,RMSE_BiLSTM,MAE_BiLSTM,MSE_BiLSTM,RMSE_CNN,MAE_CNN,MSE_CNN,RMSE_Transformer,MAE_Transformer,MSE_Transformer,RMSE_soft_dense,MAE_soft_dense,MSE_soft_dense,RMSE_soft_bilstm,MAE_soft_bilstm,MSE_soft_bilstm,RMSE_topk_dense,MAE_topk_dense,MSE_topk_dense,RMSE_topk_bilstm,MAE_topk_bilstm,MSE_topk_bilstm
33,4,2,31,103,0.11321007270640562,0.06916719207454873,0.012816520562189647,0.1246513793082785,0.07737357285673264,0.015537966363456324,0.12100911830181937,0.058438082467972635,0.014643206712183717,0.08365357357442008,0.04549311660651061,0.006997920371770912,0.08247893217590006,0.04155157061661557,0.006802774252876722,0.08351850711486218,0.04476274631848507,0.006975341030695285,0.08309910204740835,0.04376548022803315,0.006905460761085586
34,5,2,22,103,0.11088406009098824,0.08300477408250653,0.01229527478226189,0.1348045424794771,0.09762967799974233,0.018172264673101148,0.13456846228910085,0.10095412964364724,0.018108671042853162,0.12026267276753344,0.09009494451360393,0.014463110461190828,0.10744456344615355,0.08117837085230879,0.011544334214134516,0.11711751787866943,0.09039157129817932,0.013716512994060456,0.11531966785401836,0.08186983508795381,0.013298625793961114
35,6,2,20,96,0.10172135621135837,0.06692931282010306,0.010347234309478056,0.13480269025034375,0.09234121078071393,0.018171765298730123,0.12934826846646996,0.088940391301709,0.01673097455527399,0.10117079673259466,0.06869688682299895,0.010235530111507987,0.09944479149322438,0.07312877157380308,0.009889266555130873,0.10193668062132788,0.06832193216346555,0.010391086856094602,0.10112962379417587,0.0723355563628945,0.01022720080875154
36,7,2,22,103,0.10792770055688428,0.06362897691323108,0.01164838854749648,0.15364878126766787,0.0953480485125596,0.023607947985039648,0.17364560810113178,0.11007553607144116,0.030152797212811843,0.08831613544283999,0.049408723661006196,0.007799739779558059,0.09453351732755866,0.05296609437799627,0.008936585898319834,0.092254210129873,0.05653537159697879,0.008510839286686764,0.0908583747517402,0.05758670491167271,0.008255244262527663
37,8,2,35,99,0.11292364276229223,0.06961509035211581,0.012751749094705797,0.14416868676769976,0.09869330805319841,0.020784610244323126,0.13884952436893008,0.0926572234704226,0.01927919041747811,0.1091881161559493,0.07079772276521754,0.011922044709685076,0.112109045094297,0.07140792686802445,0.01256843799195512,0.11141720213251359,0.07393479169396443,0.01241379293103739,0.11207166921785987,0.07314356813698344,0.012560059041277398
38,9,2,24,103,0.11065836490126825,0.0724861406499686,0.012245273722622237,0.12077027957069951,0.10209663366586988,0.014585460427584919,0.11030975929479914,0.05658435997107723,0.012168242995676523,0.10500346064529054,0.07443280835099735,0.011025726747487079,0.13375567709588435,0.10043692473577882,0.01789058115537848,0.11560968130324606,0.08912987035998803,0.013365598411038121,0.13451310402786032,0.10882184977974936,0.01809377515520997
39,10,2,28,103,0.10825808992614458,0.07195706348287982,0.011719814034457206,0.13952430156725368,0.08152479588347164,0.01946703072782995,0.12917068071070356,0.06920364957640873,0.016685064755266522,0.10570382988113217,0.06587059080622543,0.011173299651539329,0.10470944776717077,0.06684217092549302,0.010964068451705862,0.10528453387374348,0.06261922716936413,0.011084833073011438,0.10574762671842815,0.06952537525438787,0.01118256055658002
40,11,2,20,98,0.0813645423322509,0.05496454524164829,0.0066201887489366505,0.1083445544704699,0.09107754200993681,0.011738542483404618,0.102787244809158,0.06664219990349515,0.01056521769545778,0.07374708036237781,0.05132594466550482,0.005438631861975012,0.0786013821645856,0.054233744683731204,0.006178177278183237,0.08207151385280503,0.06187388539406659,0.0067357333860911675,0.0746605426996692,0.05059528682757951,0.005574196636209127
41,12,2,20,103,0.05666952797402603,0.04028382228587079,0.003211435400798919,0.07403041661789042,0.057148586833576945,0.005480502584618426,0.06670752328419849,0.046513217433559524,0.004449893662711883,0.05618442842421508,0.037515646138249745,0.0031566899973557478,0.05452056672830864,0.039599881540607756,0.0029724921963759556,0.0560742258622799,0.040119986725079805,0.0031443188060539798,0.055392733093184904,0.03868964050990165,0.0030683548795328217
42,13,2,30,103,0.08535915875258826,0.05575565795000772,0.007286185982949565,0.10607153639240668,0.05931648567476232,0.011251170832645655,0.09957274061128996,0.05113547492260118,0.00991473067284323,0.08023166388195163,0.04244033437625064,0.006437119889266462,0.07887645515533252,0.04207549450171167,0.0062214951778711836,0.08442362751113676,0.05883157272185177,0.007127348882139168,0.08014246471828337,0.044650639963176426,0.006422814651121296
43,14,2,24,103,0.09752108854710845,0.06716169424263414,0.009510362711412966,0.10728686479867326,0.07651509605732333,0.011510471358328797,0.1045424263391023,0.07066569686902716,0.01092911890486663,0.0942596460101556,0.05749129920234111,0.008884880865959842,0.09431796112566093,0.06321539557113902,0.008895877790901688,0.09662560500994184,0.06587352839984272,0.009336507543537298,0.09805695089426762,0.07002039815873203,0.009615165618680812
44,15,2,29,103,0.10030839361590872,0.056212555723647764,0.010061773829804077,0.10161533850778581,0.06066913049724445,0.010325677020051898,0.10132528337000395,0.06276571430637277,0.010266813050011599,0.09449082145806498,0.05739145375261744,0.008928515339819912,0.09500993258444805,0.058227410328917616,0.009026887289701364,0.09557588751085813,0.05817790879156957,0.009134750273488207,0.0939980426107429,0.05835437189440981,0.008835632014651039
45,16,2,31,92,0.08791171818124813,0.05761780748768839,0.007728470193579194,0.10958864056395741,0.08826119018348988,0.012009670140656252,0.09553584079551354,0.05802040589252656,0.00912709687650571,0.07440781066024724,0.047478144053434056,0.0055365222872512014,0.07764411432336556,0.05520094669999571,0.00602860848905986,0.07528108133781228,0.05271610014447034,0.005667241207390309,0.07163594221094964,0.047815648671477785,0.005131708216450517
